Class	Genus
0	Achromobacter
1	Acidaminococcus
2	Acinetobacter
3	Actinomyces
4	Adlercreutzia
5	Aeromonas
6	Akkermansia
7	Alistipes
8	Anaerococcus
9	Anaerofustis
10	Anaeromassilibacillus
11	Anaerosporobacter
12	Anaerostipes
13	Anaerotignum
14	Anaerotruncus
15	Atopobium
16	Azospirillum
17	Bacillus
18	Bacteroides
19	Barnesiella
20	Bifidobacterium
21	Blastococcus
22	Blautia
23	Brachyspira
24	Brevibacterium
25	Butyricicoccus
26	Butyricimonas
27	Butyrivibrio
28	Campylobacter
29	Catenibacterium
30	Cellulomonas
31	Citrobacter
32	Cloacibacillus
33	Clostridium
34	Collinsella
35	Coprobacillus
36	Coprococcus
37	Corynebacterium
38	Cryptobacterium
39	Desulfovibrio
40	Dialister
41	Dorea
42	Dysgonomonas
43	Edwardsiella
44	Eggerthella
45	Enterobacter
46	Enterococcus
47	Eubacterium
48	Exiguobacterium
49	Faecalibacterium
50	Finegoldia
51	Flavobacterium
52	Franconibacter
53	Fusobacterium
54	Garciella
55	Gemella
56	Gemmiger
57	Granulicatella
58	Halomonas
59	Helicobacter
60	Klebsiella
61	Lachnobacterium
62	Lachnoclostridium
63	Lachnospira
64	Lactobacillus
65	Leuconostoc
66	Listeria
67	Marvinbryantia
68	Massiliomicrobiota
69	Megamonas
70	Megasphaera
71	Morganella
72	Negativicoccus
73	Neisseria
74	Nesterenkonia
75	Odoribacter
76	Olsenella
77	Oribacterium
78	Oscillibacter
79	Oxalobacter
80	Paenibacillus
81	Pantoea
82	Parabacteroides
83	Paraprevotella
84	Pediococcus
85	Pelosinus
86	Peptoniphilus
87	Peptostreptococcus
88	Phascolarctobacterium
89	Phyllobacterium
90	Porphyromonas
91	Prevotella
92	Propionibacterium
93	Propionimicrobium
94	Proteus
95	Providencia
96	Pseudobutyrivibrio
97	Pseudomonas
98	Ralstonia
99	Robinsoniella
100	Roseburia
101	Rothia
102	Ruminococcus
103	Sanguibacteroides
104	Selenomonas
105	Slackia
106	Sneathia
107	Solobacterium
108	Sporolactobacillus
109	Staphylococcus
110	Streptococcus
111	Streptomyces
112	Subdoligranulum
113	Succinatimonas
114	Succiniclasticum
115	Sutterella
116	Treponema
117	Veillonella
118	Weissella
119	Xylanibacter
