Class	Species
0	11861_6_55
1	11861_6_58
2	11861_6_61
3	11861_6_63
4	12718_7_10
5	12718_7_13
6	12718_7_14
7	12718_7_15
8	12718_7_17
9	12718_7_23
10	12718_7_24
11	12718_7_29
12	12718_7_3
13	12718_7_37
14	12718_7_39
15	12718_7_49
16	12718_7_50
17	12718_7_51
18	12718_7_56
19	12718_7_59
20	12718_7_7
21	12718_7_70
22	12718_7_87
23	12718_7_9
24	12718_7_92
25	13154_4_43
26	13414_6_12
27	13414_6_17
28	13414_6_20
29	13414_6_24
30	13414_6_32
31	13414_6_34
32	13414_6_41
33	13414_6_44
34	13414_6_47
35	13414_6_50
36	13414_6_53
37	13414_6_66
38	13414_6_73
39	13470_2_62
40	13470_2_64
41	13470_2_65
42	13470_2_67
43	13470_2_73
44	13470_2_75
45	13470_2_77
46	13470_2_78
47	13470_2_81
48	14207_6_12
49	14207_6_13
50	14207_6_9
51	14207_7_1
52	14207_7_23
53	14207_7_27
54	14207_7_30
55	14207_7_37
56	14207_7_57
57	14207_7_70
58	14207_7_75
59	14207_7_83
60	14207_7_9
61	14670_1_61
62	14672_4_4
63	15841_8_64
64	15841_8_88
65	17138_5_74
66	17138_5_75
67	18048_1_72
68	18048_1_93
69	18048_2_67
70	18048_2_85
71	18048_2_90
72	18391_1_11
73	18391_1_7
74	20287_6_22
75	20287_6_33
76	20287_6_4
77	20287_6_53
78	20287_6_6
79	20287_6_9
80	20298_2_1
81	20298_2_10
82	20298_2_19
83	20298_2_23
84	20298_2_29
85	20298_2_33
86	20298_2_47
87	20298_2_49
88	20298_2_5
89	20298_2_53
90	20298_2_67
91	20298_2_7
92	20298_3_1
93	20298_3_11
94	20298_3_12
95	20298_3_13
96	20298_3_17
97	20298_3_18
98	20298_3_2
99	20298_3_21
100	20298_3_24
101	20298_3_25
102	20298_3_26
103	20298_3_28
104	20298_3_3
105	20298_3_35
106	20298_3_36
107	20298_3_37
108	20298_3_4
109	20298_3_48
110	20298_3_52
111	20298_3_62
112	20298_3_63
113	20298_3_66
114	20298_3_81
115	20427_4_22
116	20427_4_25
117	21673_4_19
118	21673_4_22
119	21673_4_33
120	21673_4_38
121	21673_4_43
122	21673_4_46
123	21673_4_5
124	21673_4_53
125	21673_4_71
126	21673_4_77
127	21673_4_80
128	21673_4_87
129	21673_4_91
130	8080_1_72
131	8080_1_73
132	8080_1_77
133	8080_1_78
134	8080_1_80
135	8080_1_81
136	8080_1_83
137	GCF_000010185
138	GCF_000020425
139	GCF_000026505
140	GCF_000144975
141	GCF_000145315
142	GCF_000146325
143	GCF_000146835
144	GCF_000154285
145	GCF_000154385
146	GCF_000154405
147	GCF_000154465
148	GCF_000154845
149	GCF_000154865
150	GCF_000154985
151	GCF_000155085
152	GCF_000155205
153	GCF_000155435
154	GCF_000155495
155	GCF_000155515
156	GCF_000155815
157	GCF_000155955
158	GCF_000155995
159	GCF_000156175
160	GCF_000156215
161	GCF_000156375
162	GCF_000156395
163	GCF_000156655
164	GCF_000157015
165	GCF_000157915
166	GCF_000157935
167	GCF_000157995
168	GCF_000158055
169	GCF_000158075
170	GCF_000158195
171	GCF_000158215
172	GCF_000158235
173	GCF_000158275
174	GCF_000158295
175	GCF_000158315
176	GCF_000158375
177	GCF_000158435
178	GCF_000158455
179	GCF_000158475
180	GCF_000158495
181	GCF_000159055
182	GCF_000159175
183	GCF_000159215
184	GCF_000159375
185	GCF_000159415
186	GCF_000159455
187	GCF_000159675
188	GCF_000159715
189	GCF_000159855
190	GCF_000159915
191	GCF_000159975
192	GCF_000160575
193	GCF_000160595
194	GCF_000160855
195	GCF_000161955
196	GCF_000162075
197	GCF_000162115
198	GCF_000162155
199	GCF_000162215
200	GCF_000162235
201	GCF_000162575
202	GCF_000163075
203	GCF_000163735
204	GCF_000163935
205	GCF_000163955
206	GCF_000165065
207	GCF_000166035
208	GCF_000169015
209	GCF_000172135
210	GCF_000172175
211	GCF_000173355
212	GCF_000174195
213	GCF_000178935
214	GCF_000185345
215	GCF_000185705
216	GCF_000185845
217	GCF_000186505
218	GCF_000186545
219	GCF_000187265
220	GCF_000187895
221	GCF_000189615
222	GCF_000190355
223	GCF_000191845
224	GCF_000192165
225	GCF_000195635
226	GCF_000205165
227	GCF_000209405
228	GCF_000209425
229	GCF_000210095
230	GCF_000213555
231	GCF_000213575
232	GCF_000218325
233	GCF_000218385
234	GCF_000218465
235	GCF_000220865
236	GCF_000225705
237	GCF_000227195
238	GCF_000227255
239	GCF_000231275
240	GCF_000233455
241	GCF_000233495
242	GCF_000233955
243	GCF_000234155
244	GCF_000235505
245	GCF_000235885
246	GCF_000238655
247	GCF_000238735
248	GCF_000238755
249	GCF_000239255
250	GCF_000241405
251	GCF_000242175
252	GCF_000242435
253	GCF_000242955
254	GCF_000243215
255	GCF_000244855
256	GCF_000245775
257	GCF_000250875
258	GCF_000273525
259	GCF_000285535
260	GCF_000285575
261	GCF_000285835
262	GCF_000296445
263	GCF_000297775
264	GCF_000297815
265	GCF_000308055
266	GCF_000311725
267	GCF_000311865
268	GCF_000311925
269	GCF_000312005
270	GCF_000312145
271	GCF_000313565
272	GCF_000315485
273	GCF_000320405
274	GCF_000321005
275	GCF_000321025
276	GCF_000321185
277	GCF_000321205
278	GCF_000327285
279	GCF_000345485
280	GCF_000349975
281	GCF_000381365
282	GCF_000382465
283	GCF_000403725
284	GCF_000411235
285	GCF_000411255
286	GCF_000411275
287	GCF_000411335
288	GCF_000411395
289	GCF_000411415
290	GCF_000411475
291	GCF_000411495
292	GCF_000411535
293	GCF_000413335
294	GCF_000413355
295	GCF_000455245
296	GCF_000468015
297	GCF_000469305
298	GCF_000478505
299	GCF_000479045
300	GCF_000479265
301	GCF_000499525
302	GCF_000499785
303	GCF_000507845
304	GCF_000507865
305	GCF_000523555
306	GCF_000527275
307	GCF_000527295
308	GCF_000582785
309	GCF_000612625
310	GCF_000741205
311	GCF_000751675
312	GCF_000752035
313	GCF_000753355
314	GCF_000820705
315	GCF_000820725
316	GCF_000821085
317	GCF_000826105
318	GCF_000969835
319	GCF_000969845
320	GCF_001025155
321	GCF_001025175
322	GCF_001025195
323	GCF_001050095
324	GCF_001078425
325	GCF_001182045
326	GCF_001182725
327	GCF_001243045
328	GCF_001243895
329	GCF_001244405
330	GCF_001403635
331	GCF_001407835
332	GCF_001433855
333	GCF_001435475
334	GCF_001435665
335	GCF_001457795
336	GCF_001457875
337	GCF_001487105
338	GCF_001487145
339	GCF_001517625
340	GCF_001517665
341	GCF_001941425
342	GCF_900049755
343	GCF_900078305
344	GCF_900083545
345	GCF_900091655
346	GCF_900091675
347	GCF_900091705
348	GCF_900092335
349	GCF_900095705
350	GCF_900095825
351	GCF_900095835
352	GCF_900095845
353	GCF_900095855
354	GCF_900095875
355	GCF_900107675
356	UMGS1
357	UMGS1003
358	UMGS1005
359	UMGS1006
360	UMGS1007
361	UMGS1009
362	UMGS101
363	UMGS1010
364	UMGS1013
365	UMGS1015
366	UMGS1016
367	UMGS1017
368	UMGS1019
369	UMGS1022
370	UMGS1023
371	UMGS1026
372	UMGS1027
373	UMGS1028
374	UMGS1029
375	UMGS1030
376	UMGS1031
377	UMGS1036
378	UMGS1038
379	UMGS104
380	UMGS1046
381	UMGS1047
382	UMGS1049
383	UMGS1051
384	UMGS1053
385	UMGS1055
386	UMGS1059
387	UMGS1061
388	UMGS1063
389	UMGS1064
390	UMGS1065
391	UMGS1066
392	UMGS1067
393	UMGS1068
394	UMGS107
395	UMGS1073
396	UMGS1074
397	UMGS1075
398	UMGS1077
399	UMGS1080
400	UMGS1082
401	UMGS1083
402	UMGS1085
403	UMGS1086
404	UMGS1088
405	UMGS1089
406	UMGS1091
407	UMGS1092
408	UMGS1093
409	UMGS1094
410	UMGS1095
411	UMGS1096
412	UMGS11
413	UMGS1100
414	UMGS1103
415	UMGS1105
416	UMGS111
417	UMGS1112
418	UMGS1114
419	UMGS1117
420	UMGS1118
421	UMGS1119
422	UMGS1120
423	UMGS1121
424	UMGS1127
425	UMGS1128
426	UMGS1129
427	UMGS113
428	UMGS1130
429	UMGS1131
430	UMGS1137
431	UMGS1138
432	UMGS1139
433	UMGS1140
434	UMGS1141
435	UMGS1142
436	UMGS1146
437	UMGS1152
438	UMGS1154
439	UMGS1155
440	UMGS1156
441	UMGS1157
442	UMGS1160
443	UMGS1161
444	UMGS1162
445	UMGS1164
446	UMGS1165
447	UMGS1166
448	UMGS1168
449	UMGS1169
450	UMGS117
451	UMGS1173
452	UMGS1174
453	UMGS118
454	UMGS1181
455	UMGS1183
456	UMGS1184
457	UMGS1186
458	UMGS1189
459	UMGS119
460	UMGS1190
461	UMGS1196
462	UMGS1197
463	UMGS12
464	UMGS120
465	UMGS1200
466	UMGS1201
467	UMGS1203
468	UMGS1205
469	UMGS1207
470	UMGS1208
471	UMGS1209
472	UMGS121
473	UMGS1210
474	UMGS1213
475	UMGS1219
476	UMGS122
477	UMGS1220
478	UMGS1228
479	UMGS1231
480	UMGS1233
481	UMGS1235
482	UMGS1236
483	UMGS1238
484	UMGS1239
485	UMGS1242
486	UMGS1243
487	UMGS1244
488	UMGS125
489	UMGS1250
490	UMGS1252
491	UMGS1255
492	UMGS1256
493	UMGS1258
494	UMGS1259
495	UMGS126
496	UMGS1260
497	UMGS1262
498	UMGS1265
499	UMGS1268
500	UMGS1269
501	UMGS127
502	UMGS1270
503	UMGS1273
504	UMGS1274
505	UMGS1276
506	UMGS1277
507	UMGS1278
508	UMGS128
509	UMGS1280
510	UMGS1282
511	UMGS1285
512	UMGS1286
513	UMGS1287
514	UMGS1288
515	UMGS129
516	UMGS1291
517	UMGS1292
518	UMGS1294
519	UMGS13
520	UMGS1300
521	UMGS1306
522	UMGS1308
523	UMGS1309
524	UMGS1310
525	UMGS1311
526	UMGS1314
527	UMGS1319
528	UMGS1320
529	UMGS1321
530	UMGS1324
531	UMGS1325
532	UMGS1327
533	UMGS1328
534	UMGS1329
535	UMGS1330
536	UMGS1333
537	UMGS1335
538	UMGS1336
539	UMGS1339
540	UMGS1340
541	UMGS1341
542	UMGS1342
543	UMGS1347
544	UMGS1349
545	UMGS1351
546	UMGS1352
547	UMGS1354
548	UMGS1355
549	UMGS1356
550	UMGS1357
551	UMGS1359
552	UMGS136
553	UMGS1360
554	UMGS1362
555	UMGS1364
556	UMGS1367
557	UMGS1369
558	UMGS1370
559	UMGS1371
560	UMGS1373
561	UMGS1376
562	UMGS1378
563	UMGS138
564	UMGS1380
565	UMGS1381
566	UMGS1385
567	UMGS1386
568	UMGS1390
569	UMGS1391
570	UMGS1399
571	UMGS14
572	UMGS1401
573	UMGS1403
574	UMGS1404
575	UMGS1405
576	UMGS1406
577	UMGS1409
578	UMGS141
579	UMGS1413
580	UMGS1414
581	UMGS1415
582	UMGS1416
583	UMGS1417
584	UMGS1419
585	UMGS142
586	UMGS1420
587	UMGS1421
588	UMGS1423
589	UMGS1424
590	UMGS1425
591	UMGS1427
592	UMGS1428
593	UMGS143
594	UMGS1430
595	UMGS1431
596	UMGS1432
597	UMGS1433
598	UMGS1434
599	UMGS1436
600	UMGS1437
601	UMGS1438
602	UMGS1439
603	UMGS144
604	UMGS1440
605	UMGS1441
606	UMGS1442
607	UMGS1443
608	UMGS1444
609	UMGS1448
610	UMGS145
611	UMGS1450
612	UMGS1452
613	UMGS1456
614	UMGS146
615	UMGS1462
616	UMGS1464
617	UMGS1465
618	UMGS1467
619	UMGS1468
620	UMGS1469
621	UMGS147
622	UMGS1472
623	UMGS1473
624	UMGS1475
625	UMGS1476
626	UMGS1479
627	UMGS148
628	UMGS1480
629	UMGS1481
630	UMGS1482
631	UMGS1483
632	UMGS1488
633	UMGS1489
634	UMGS149
635	UMGS1497
636	UMGS1499
637	UMGS15
638	UMGS1500
639	UMGS1501
640	UMGS1504
641	UMGS1505
642	UMGS1506
643	UMGS1508
644	UMGS151
645	UMGS1510
646	UMGS1511
647	UMGS1514
648	UMGS1516
649	UMGS152
650	UMGS1520
651	UMGS1521
652	UMGS1522
653	UMGS1524
654	UMGS1525
655	UMGS1526
656	UMGS1527
657	UMGS1529
658	UMGS1530
659	UMGS1531
660	UMGS1533
661	UMGS1534
662	UMGS1537
663	UMGS1538
664	UMGS1539
665	UMGS1542
666	UMGS1543
667	UMGS1545
668	UMGS1546
669	UMGS1547
670	UMGS1548
671	UMGS1549
672	UMGS1550
673	UMGS1552
674	UMGS1553
675	UMGS1554
676	UMGS1558
677	UMGS1559
678	UMGS156
679	UMGS1560
680	UMGS1561
681	UMGS1562
682	UMGS1563
683	UMGS1565
684	UMGS1567
685	UMGS1568
686	UMGS1570
687	UMGS1576
688	UMGS1579
689	UMGS158
690	UMGS1580
691	UMGS1581
692	UMGS1582
693	UMGS1584
694	UMGS1586
695	UMGS1587
696	UMGS1589
697	UMGS1594
698	UMGS1595
699	UMGS1597
700	UMGS1598
701	UMGS16
702	UMGS1601
703	UMGS1604
704	UMGS1606
705	UMGS1608
706	UMGS1609
707	UMGS1612
708	UMGS1616
709	UMGS1619
710	UMGS162
711	UMGS1622
712	UMGS1624
713	UMGS1625
714	UMGS1627
715	UMGS1629
716	UMGS163
717	UMGS1630
718	UMGS1631
719	UMGS1632
720	UMGS1635
721	UMGS1637
722	UMGS1638
723	UMGS1639
724	UMGS164
725	UMGS1640
726	UMGS1641
727	UMGS1642
728	UMGS1644
729	UMGS1645
730	UMGS1646
731	UMGS1647
732	UMGS1649
733	UMGS1650
734	UMGS1652
735	UMGS1653
736	UMGS1654
737	UMGS1659
738	UMGS166
739	UMGS1660
740	UMGS1662
741	UMGS1663
742	UMGS1666
743	UMGS1667
744	UMGS1669
745	UMGS1672
746	UMGS1673
747	UMGS1674
748	UMGS1675
749	UMGS1677
750	UMGS1678
751	UMGS1680
752	UMGS1681
753	UMGS1683
754	UMGS1684
755	UMGS1687
756	UMGS1689
757	UMGS169
758	UMGS1693
759	UMGS1694
760	UMGS1695
761	UMGS1697
762	UMGS1699
763	UMGS17
764	UMGS170
765	UMGS1701
766	UMGS1705
767	UMGS1706
768	UMGS1710
769	UMGS1711
770	UMGS1712
771	UMGS1716
772	UMGS1717
773	UMGS1718
774	UMGS1719
775	UMGS1720
776	UMGS1721
777	UMGS1724
778	UMGS1726
779	UMGS1727
780	UMGS1729
781	UMGS173
782	UMGS1731
783	UMGS1732
784	UMGS1733
785	UMGS1734
