Genome	Phylum	Class	Order	Family	Genus
11861_6_55	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
11861_6_58	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
11861_6_61	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
11861_6_63	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
11861_6_65	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
12718_7_10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
12718_7_13	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
12718_7_14	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
12718_7_15	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
12718_7_17	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
12718_7_21	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	NA
12718_7_23	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
12718_7_24	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
12718_7_29	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
12718_7_37	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
12718_7_39	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
12718_7_3	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
12718_7_41	Firmicutes	Clostridia	Clostridiales	NA	NA
12718_7_46	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
12718_7_47	Firmicutes	Clostridia	Clostridiales	NA	NA
12718_7_49	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
12718_7_50	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
12718_7_51	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
12718_7_56	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
12718_7_59	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
12718_7_70	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
12718_7_72	Firmicutes	Clostridia	Clostridiales	NA	NA
12718_7_73	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
12718_7_7	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
12718_7_81	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
12718_7_84	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
12718_7_87	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
12718_7_89	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
12718_7_92	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
12718_7_94	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
12718_7_9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
13154_4_43	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
13414_6_10	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
13414_6_12	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas
13414_6_14	Firmicutes	Clostridia	Clostridiales	NA	NA
13414_6_15	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13414_6_17	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
13414_6_20	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
13414_6_24	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
13414_6_2	Firmicutes	Clostridia	Clostridiales	NA	NA
13414_6_32	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
13414_6_33	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13414_6_34	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
13414_6_37	Firmicutes	Clostridia	Clostridiales	NA	NA
13414_6_39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
13414_6_3	Firmicutes	Clostridia	Clostridiales	NA	NA
13414_6_41	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
13414_6_43	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
13414_6_44	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
13414_6_47	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnobacterium
13414_6_49	Firmicutes	Bacilli	NA	NA	NA
13414_6_50	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
13414_6_53	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
13414_6_58	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
13414_6_60	Firmicutes	Clostridia	Clostridiales	NA	NA
13414_6_66	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
13414_6_67	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13414_6_68	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13414_6_70	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13414_6_73	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
13470_2_58	Firmicutes	Clostridia	Clostridiales	NA	NA
13470_2_62	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
13470_2_64	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
13470_2_65	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
13470_2_67	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
13470_2_71	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
13470_2_73	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
13470_2_75	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
13470_2_77	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
13470_2_78	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
13470_2_81	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
13470_2_91	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13470_2_92	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
13470_2_93	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
14207_6_11	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_6_12	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
14207_6_13	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
14207_6_2	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
14207_6_3	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
14207_6_9	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
14207_7_10	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
14207_7_18	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
14207_7_23	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
14207_7_25	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
14207_7_27	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
14207_7_28	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_30	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
14207_7_32	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_37	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
14207_7_42	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
14207_7_43	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
14207_7_50	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_52	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
14207_7_54	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_56	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_57	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
14207_7_59	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_64	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_70	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
14207_7_75	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
14207_7_83	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
14207_7_86	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_87	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_89	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_90	Firmicutes	Clostridia	Clostridiales	NA	NA
14207_7_95	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
14207_7_9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
14670_1_61	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
14672_4_4	Firmicutes	Bacilli	Bacillales	Exiguobacterium	Exiguobacterium
15841_8_64	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
15841_8_85	Firmicutes	Clostridia	Clostridiales	NA	NA
15841_8_88	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
17138_5_74	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
17138_5_75	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
18048_1_69	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
18048_1_70	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
18048_1_72	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
18048_1_93	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
18048_2_57	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
18048_2_67	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
18048_2_82	Firmicutes	Clostridia	Clostridiales	NA	NA
18048_2_85	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
18048_2_90	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
18391_1_11	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
18391_1_7	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
20287_6_18	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
20287_6_22	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
20287_6_33	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
20287_6_37	Firmicutes	Clostridia	Clostridiales	NA	NA
20287_6_4	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
20287_6_53	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
20287_6_63	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
20287_6_6	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
20287_6_70	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
20287_6_88	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
20287_6_9	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
20298_2_10	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
20298_2_19	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
20298_2_1	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
20298_2_23	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
20298_2_28	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_2_29	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionimicrobium
20298_2_31	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA
20298_2_33	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
20298_2_3	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	NA
20298_2_47	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
20298_2_49	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
20298_2_4	Firmicutes	Clostridia	Clostridiales	NA	NA
20298_2_53	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
20298_2_5	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
20298_2_67	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
20298_2_7	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
20298_3_11	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
20298_3_12	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
20298_3_13	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
20298_3_14	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA
20298_3_17	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
20298_3_18	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
20298_3_19	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
20298_3_1	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium
20298_3_21	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
20298_3_24	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
20298_3_25	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
