UMGS_ID	MAG_ID	Phylum	Class	Order	Family	Genus
UMGS1	ERR1018204_bin.16	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
UMGS2	ERR1190731_bin.19	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas
UMGS3	ERR1190931_bin.27	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
UMGS4	ERR1305901_bin.84	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
UMGS6	ERR1620321_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS7	ERR1620345_bin.15	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	NA
UMGS8	ERR866561_bin.6	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
UMGS9	SRR1779122_bin.3	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
UMGS11	SRR5056714_bin.28	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia
UMGS12	SRR5106488_bin.11	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
UMGS13	SRR5275431_bin.18	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
UMGS14	SRR5275454_bin.9	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
UMGS15	SRR5275463_bin.3	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
UMGS16	SRR6257487_bin.2	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
UMGS17	SRR3737013_bin.48	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS18	SRR1215278_bin.2	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
UMGS20	ERR1620346_bin.17	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
UMGS21	ERR525840_bin.18	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS22	SRR6028431_bin.1	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS24	SRR5056950_bin.43	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
UMGS26	ERR1953518_bin.80	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
UMGS27	SRR5580035_bin.87	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
UMGS29	ERR525845_bin.24	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
UMGS30	ERR209229_bin.14	Tenericutes	Mollicutes	NA	NA	NA
UMGS31	ERR912037_bin.21	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
UMGS32	ERR1018211_bin.54	Tenericutes	Mollicutes	NA	NA	NA
UMGS33	SRR4481738_bin.72	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
UMGS34	ERR1578662_bin.36	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS35	ERR525726_bin.20	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS36	SRR5056824_bin.67	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
UMGS37	ERR1578662_bin.38	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
UMGS38	ERR209883_bin.22	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
UMGS39	ERR525754_bin.18	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
UMGS40	SRR2912796_bin.41	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
UMGS41	SRR5275454_bin.24	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus
UMGS42	SRR5279256_bin.22	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
UMGS43	SRR5558411_bin.82	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
UMGS44	SRR5963149_bin.7	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
UMGS45	SRR5963382_bin.19	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
UMGS46	ERR688533_bin.32	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS47	SRR6257398_bin.3	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
UMGS48	ERR321293_bin.5	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
UMGS49	SRR5558054_bin.48	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
UMGS50	ERR1293691_bin.12	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
UMGS51	ERR1018207_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS52	ERR1913027_bin.9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS53	ERR209740_bin.9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS54	SRR3131812_bin.3	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
UMGS55	SRR5279309_bin.20	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS56	SRR3132109_bin.2	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
UMGS57	SRR2155361_bin.23	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS59	ERR589527_bin.14	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
UMGS61	SRR5106285_bin.21	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
UMGS62	SRR492197_bin.1	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Peptoniphilus
UMGS63	SRR2992891_bin.89	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
UMGS64	SRR3110878_bin.7	Proteobacteria	Alphaproteobacteria	NA	NA	NA
UMGS65	SRR6054473_bin.1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
UMGS66	ERR505084_bin.81	Tenericutes	Mollicutes	NA	NA	NA
UMGS68	SRR1461787_bin.4	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
UMGS69	SRR341661_bin.16	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
UMGS70	SRR4408192_bin.4	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
UMGS71	SRR5091553_bin.25	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
UMGS73	SRR5275454_bin.21	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS74	SRR5279234_bin.21	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
UMGS75	ERR1912967_bin.19	Tenericutes	Mollicutes	NA	NA	NA
UMGS77	SRR3108064_bin.3	Tenericutes	Mollicutes	NA	NA	NA
UMGS78	ERR1190897_bin.8	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
UMGS79	ERR1190956_bin.69	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS80	ERR2013562_bin.11	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS81	ERR505093_bin.33	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS82	ERR525898_bin.19	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS83	ERR911953_bin.80	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS84	SRR2155351_bin.3	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS85	SRR341716_bin.16	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
UMGS86	SRR5056929_bin.77	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS87	SRR5558219_bin.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS88	SRR5558365_bin.16	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS89	SRR5580103_bin.67	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
UMGS90	SRR1214724_bin.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
UMGS91	SRR6028460_bin.7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
