Class	Species
0	11861_6_55
1	11861_6_58
2	11861_6_61
3	11861_6_63
4	11861_6_65
5	12718_7_10
6	12718_7_13
7	12718_7_14
8	12718_7_15
9	12718_7_17
10	12718_7_21
11	12718_7_23
12	12718_7_24
13	12718_7_29
14	12718_7_3
15	12718_7_37
16	12718_7_39
17	12718_7_41
18	12718_7_46
19	12718_7_47
20	12718_7_49
21	12718_7_50
22	12718_7_51
23	12718_7_56
24	12718_7_59
25	12718_7_7
26	12718_7_70
27	12718_7_72
28	12718_7_73
29	12718_7_81
30	12718_7_84
31	12718_7_87
32	12718_7_89
33	12718_7_9
34	12718_7_92
35	12718_7_94
36	13154_4_43
37	13414_6_10
38	13414_6_12
39	13414_6_14
40	13414_6_15
41	13414_6_17
42	13414_6_2
43	13414_6_20
44	13414_6_24
45	13414_6_3
46	13414_6_32
47	13414_6_33
48	13414_6_34
49	13414_6_37
50	13414_6_39
51	13414_6_41
52	13414_6_43
53	13414_6_44
54	13414_6_47
55	13414_6_49
56	13414_6_50
57	13414_6_53
58	13414_6_58
59	13414_6_60
60	13414_6_66
61	13414_6_67
62	13414_6_68
63	13414_6_70
64	13414_6_73
65	13470_2_58
66	13470_2_62
67	13470_2_64
68	13470_2_65
69	13470_2_67
70	13470_2_71
71	13470_2_73
72	13470_2_75
73	13470_2_77
74	13470_2_78
75	13470_2_81
76	13470_2_91
77	13470_2_92
78	13470_2_93
79	14207_6_11
80	14207_6_12
81	14207_6_13
82	14207_6_2
83	14207_6_3
84	14207_6_9
85	14207_7_1
86	14207_7_10
87	14207_7_18
88	14207_7_23
89	14207_7_25
90	14207_7_27
91	14207_7_28
92	14207_7_30
93	14207_7_32
94	14207_7_37
95	14207_7_42
96	14207_7_43
97	14207_7_50
98	14207_7_52
99	14207_7_54
100	14207_7_56
101	14207_7_57
102	14207_7_59
103	14207_7_64
104	14207_7_70
105	14207_7_75
106	14207_7_83
107	14207_7_86
108	14207_7_87
109	14207_7_89
110	14207_7_9
111	14207_7_90
112	14207_7_95
113	14670_1_61
114	14672_4_4
115	15841_8_64
116	15841_8_85
117	15841_8_88
118	17138_5_74
119	17138_5_75
120	18048_1_69
121	18048_1_70
122	18048_1_72
123	18048_1_93
124	18048_2_57
125	18048_2_67
126	18048_2_82
127	18048_2_85
128	18048_2_90
129	18391_1_11
130	18391_1_7
131	20287_6_18
132	20287_6_22
133	20287_6_33
134	20287_6_37
135	20287_6_4
136	20287_6_53
137	20287_6_6
138	20287_6_63
139	20287_6_70
140	20287_6_88
141	20287_6_9
142	20298_2_1
143	20298_2_10
144	20298_2_19
145	20298_2_23
146	20298_2_28
147	20298_2_29
148	20298_2_3
149	20298_2_31
150	20298_2_33
151	20298_2_4
152	20298_2_47
153	20298_2_49
154	20298_2_5
155	20298_2_53
156	20298_2_67
157	20298_2_7
158	20298_3_1
159	20298_3_11
160	20298_3_12
161	20298_3_13
162	20298_3_14
163	20298_3_17
164	20298_3_18
165	20298_3_19
166	20298_3_2
167	20298_3_21
168	20298_3_24
169	20298_3_25
170	20298_3_26
171	20298_3_28
172	20298_3_3
173	20298_3_30
174	20298_3_34
175	20298_3_35
176	20298_3_36
177	20298_3_37
178	20298_3_39
179	20298_3_4
180	20298_3_48
181	20298_3_52
182	20298_3_57
183	20298_3_58
184	20298_3_59
185	20298_3_62
186	20298_3_63
187	20298_3_64
188	20298_3_65
189	20298_3_66
190	20298_3_69
191	20298_3_70
192	20298_3_71
193	20298_3_8
194	20298_3_81
195	20298_3_9
196	20427_4_22
197	20427_4_25
198	21673_4_12
199	21673_4_18
200	21673_4_19
201	21673_4_22
202	21673_4_3
203	21673_4_33
204	21673_4_36
205	21673_4_37
206	21673_4_38
207	21673_4_43
208	21673_4_46
209	21673_4_5
210	21673_4_53
211	21673_4_55
212	21673_4_71
213	21673_4_77
214	21673_4_80
215	21673_4_87
216	21673_4_91
217	8080_1_69
218	8080_1_72
219	8080_1_73
220	8080_1_77
221	8080_1_78
222	8080_1_80
223	8080_1_81
224	8080_1_83
225	8080_1_93
226	GCF_000010185
227	GCF_000020425
228	GCF_000026505
229	GCF_000144975
230	GCF_000145315
231	GCF_000146325
232	GCF_000146835
233	GCF_000148995
234	GCF_000153885
235	GCF_000154285
236	GCF_000154325
237	GCF_000154385
238	GCF_000154405
239	GCF_000154465
240	GCF_000154505
241	GCF_000154545
242	GCF_000154805
243	GCF_000154825
244	GCF_000154845
245	GCF_000154865
246	GCF_000154985
247	GCF_000155085
248	GCF_000155205
249	GCF_000155435
250	GCF_000155495
251	GCF_000155515
252	GCF_000155815
253	GCF_000155855
254	GCF_000155875
255	GCF_000155955
256	GCF_000155975
257	GCF_000155995
258	GCF_000156015
259	GCF_000156055
260	GCF_000156175
261	GCF_000156215
262	GCF_000156375
263	GCF_000156395
264	GCF_000156515
265	GCF_000156655
266	GCF_000157015
267	GCF_000157035
268	GCF_000157915
269	GCF_000157935
270	GCF_000157955
271	GCF_000157995
272	GCF_000158055
273	GCF_000158075
274	GCF_000158195
275	GCF_000158215
276	GCF_000158235
277	GCF_000158275
278	GCF_000158295
279	GCF_000158315
280	GCF_000158375
281	GCF_000158415
282	GCF_000158435
283	GCF_000158455
284	GCF_000158475
285	GCF_000158495
286	GCF_000158655
287	GCF_000159055
288	GCF_000159175
289	GCF_000159215
290	GCF_000159375
291	GCF_000159415
292	GCF_000159455
293	GCF_000159675
294	GCF_000159715
295	GCF_000159855
296	GCF_000159915
297	GCF_000159975
298	GCF_000160455
299	GCF_000160575
300	GCF_000160595
301	GCF_000160855
302	GCF_000161955
303	GCF_000162075
304	GCF_000162115
305	GCF_000162155
306	GCF_000162215
307	GCF_000162235
308	GCF_000162575
309	GCF_000163075
310	GCF_000163735
311	GCF_000163935
312	GCF_000163955
313	GCF_000165065
314	GCF_000166035
315	GCF_000169015
316	GCF_000169035
317	GCF_000172135
318	GCF_000172175
319	GCF_000173355
320	GCF_000173815
321	GCF_000174195
322	GCF_000177015
323	GCF_000178935
324	GCF_000185345
325	GCF_000185705
326	GCF_000185845
327	GCF_000186505
328	GCF_000186545
329	GCF_000187265
330	GCF_000187895
331	GCF_000188175
332	GCF_000188195
333	GCF_000189615
334	GCF_000190355
335	GCF_000191845
336	GCF_000192165
337	GCF_000195635
338	GCF_000204455
339	GCF_000205165
340	GCF_000209385
341	GCF_000209405
342	GCF_000209425
343	GCF_000210095
344	GCF_000213555
345	GCF_000213575
346	GCF_000218325
347	GCF_000218385
348	GCF_000218405
349	GCF_000218465
350	GCF_000220865
351	GCF_000225705
352	GCF_000227195
353	GCF_000227255
354	GCF_000231275
355	GCF_000233455
356	GCF_000233495
357	GCF_000233955
358	GCF_000234155
359	GCF_000235505
360	GCF_000235885
361	GCF_000236865
362	GCF_000238035
363	GCF_000238615
364	GCF_000238635
365	GCF_000238655
366	GCF_000238675
367	GCF_000238695
368	GCF_000238735
369	GCF_000238755
370	GCF_000239255
371	GCF_000239335
372	GCF_000241405
373	GCF_000242175
374	GCF_000242435
375	GCF_000242955
376	GCF_000243215
377	GCF_000244855
378	GCF_000245775
379	GCF_000250875
380	GCF_000269565
381	GCF_000273525
382	GCF_000285495
383	GCF_000285515
384	GCF_000285535
385	GCF_000285555
386	GCF_000285575
387	GCF_000285835
388	GCF_000296445
389	GCF_000297775
390	GCF_000297815
391	GCF_000308055
392	GCF_000311725
393	GCF_000311845
394	GCF_000311865
395	GCF_000311925
396	GCF_000312005
397	GCF_000312045
398	GCF_000312105
399	GCF_000312125
400	GCF_000312145
401	GCF_000313565
402	GCF_000315485
403	GCF_000320405
404	GCF_000321005
405	GCF_000321025
406	GCF_000321045
407	GCF_000321165
408	GCF_000321185
409	GCF_000321205
410	GCF_000327285
411	GCF_000345485
412	GCF_000349975
413	GCF_000381365
414	GCF_000382465
415	GCF_000398925
416	GCF_000403725
417	GCF_000411235
418	GCF_000411255
419	GCF_000411275
420	GCF_000411295
421	GCF_000411335
422	GCF_000411395
423	GCF_000411415
424	GCF_000411475
425	GCF_000411495
426	GCF_000411535
427	GCF_000412335
428	GCF_000413335
429	GCF_000413355
430	GCF_000413375
431	GCF_000438455
432	GCF_000455245
433	GCF_000455265
434	GCF_000455285
435	GCF_000466385
436	GCF_000466605
437	GCF_000468015
438	GCF_000469305
439	GCF_000469345
440	GCF_000478505
441	GCF_000479045
442	GCF_000479265
443	GCF_000499525
444	GCF_000499785
445	GCF_000507845
446	GCF_000507865
447	GCF_000523555
448	GCF_000527275
449	GCF_000527295
450	GCF_000577335
451	GCF_000582785
452	GCF_000612625
453	GCF_000723585
454	GCF_000741205
455	GCF_000750635
456	GCF_000751555
457	GCF_000751675
458	GCF_000752035
459	GCF_000752215
460	GCF_000752675
461	GCF_000753355
462	GCF_000763055
463	GCF_000820705
464	GCF_000820725
465	GCF_000821085
466	GCF_000821325
467	GCF_000826065
468	GCF_000826085
469	GCF_000826105
470	GCF_000826525
471	GCF_000829905
472	GCF_000942395
473	GCF_000969835
474	GCF_000969845
475	GCF_001025155
476	GCF_001025175
477	GCF_001025195
478	GCF_001049895
479	GCF_001050095
480	GCF_001078425
481	GCF_001182045
482	GCF_001182725
483	GCF_001185345
484	GCF_001243045
485	GCF_001243895
486	GCF_001244405
487	GCF_001244495
488	GCF_001244735
489	GCF_001244995
490	GCF_001282625
491	GCF_001282665
492	GCF_001286805
493	GCF_001299475
494	GCF_001368795
495	GCF_001368835
496	GCF_001375495
497	GCF_001375555
498	GCF_001375675
499	GCF_001403595
500	GCF_001403635
501	GCF_001403875
502	GCF_001407835
503	GCF_001433855
504	GCF_001435475
505	GCF_001435665
506	GCF_001457415
507	GCF_001457795
508	GCF_001457815
509	GCF_001457835
510	GCF_001457875
511	GCF_001458115
512	GCF_001486445
513	GCF_001486505
514	GCF_001486585
515	GCF_001486665
516	GCF_001487105
517	GCF_001487125
518	GCF_001487145
519	GCF_001517625
520	GCF_001517665
521	GCF_001941425
522	GCF_900018785
523	GCF_900021165
524	GCF_900021175
525	GCF_900046455
526	GCF_900046475
527	GCF_900048895
528	GCF_900049755
529	GCF_900059565
530	GCF_900069005
531	GCF_900078195
532	GCF_900078305
533	GCF_900078545
534	GCF_900083545
535	GCF_900086585
536	GCF_900086625
537	GCF_900086655
538	GCF_900086715
539	GCF_900087015
540	GCF_900091655
541	GCF_900091675
542	GCF_900091705
543	GCF_900092335
544	GCF_900095705
545	GCF_900095825
546	GCF_900095835
547	GCF_900095845
548	GCF_900095855
549	GCF_900095865
550	GCF_900095875
551	GCF_900107675
552	GCF_900119705
553	UMGS1
554	UMGS100
555	UMGS1001
556	UMGS1002
557	UMGS1003
558	UMGS1004
559	UMGS1005
560	UMGS1006
561	UMGS1007
562	UMGS1008
563	UMGS1009
564	UMGS101
565	UMGS1010
566	UMGS1011
567	UMGS1012
568	UMGS1013
569	UMGS1014
570	UMGS1015
571	UMGS1016
572	UMGS1017
573	UMGS1018
574	UMGS1019
575	UMGS1020
576	UMGS1021
577	UMGS1022
578	UMGS1023
579	UMGS1024
580	UMGS1025
581	UMGS1026
582	UMGS1027
583	UMGS1028
584	UMGS1029
585	UMGS1030
586	UMGS1031
587	UMGS1032
588	UMGS1033
589	UMGS1034
590	UMGS1035
591	UMGS1036
592	UMGS1037
593	UMGS1038
594	UMGS1039
595	UMGS104
596	UMGS1040
597	UMGS1041
598	UMGS1042
599	UMGS1043
600	UMGS1044
601	UMGS1045
602	UMGS1046
603	UMGS1047
604	UMGS1048
605	UMGS1049
606	UMGS1050
607	UMGS1051
608	UMGS1052
609	UMGS1053
610	UMGS1054
611	UMGS1055
612	UMGS1056
613	UMGS1057
614	UMGS1058
615	UMGS1059
616	UMGS106
617	UMGS1060
618	UMGS1061
619	UMGS1062
620	UMGS1063
621	UMGS1064
622	UMGS1065
623	UMGS1066
624	UMGS1067
625	UMGS1068
626	UMGS1069
627	UMGS107
628	UMGS1070
629	UMGS1071
630	UMGS1072
631	UMGS1073
632	UMGS1074
633	UMGS1075
634	UMGS1077
635	UMGS1078
636	UMGS1079
637	UMGS108
638	UMGS1080
639	UMGS1081
640	UMGS1082
641	UMGS1083
642	UMGS1084
643	UMGS1085
644	UMGS1086
645	UMGS1087
646	UMGS1088
647	UMGS1089
648	UMGS109
649	UMGS1091
650	UMGS1092
651	UMGS1093
652	UMGS1094
653	UMGS1095
654	UMGS1096
655	UMGS1097
656	UMGS1098
657	UMGS1099
658	UMGS11
659	UMGS110
660	UMGS1100
661	UMGS1101
662	UMGS1102
663	UMGS1103
664	UMGS1104
665	UMGS1105
666	UMGS1106
667	UMGS1107
668	UMGS1108
669	UMGS1109
670	UMGS111
671	UMGS1110
672	UMGS1111
673	UMGS1112
674	UMGS1113
675	UMGS1114
676	UMGS1115
677	UMGS1116
678	UMGS1117
679	UMGS1118
680	UMGS1119
681	UMGS112
682	UMGS1120
683	UMGS1121
684	UMGS1122
685	UMGS1123
686	UMGS1124
687	UMGS1125
688	UMGS1126
689	UMGS1127
690	UMGS1128
691	UMGS1129
692	UMGS113
693	UMGS1130
694	UMGS1131
695	UMGS1132
696	UMGS1133
697	UMGS1134
698	UMGS1135
699	UMGS1136
700	UMGS1137
701	UMGS1138
702	UMGS1139
703	UMGS1140
704	UMGS1141
705	UMGS1142
706	UMGS1143
707	UMGS1144
708	UMGS1145
709	UMGS1146
710	UMGS1147
711	UMGS1148
712	UMGS1149
713	UMGS115
714	UMGS1151
715	UMGS1152
716	UMGS1153
717	UMGS1154
718	UMGS1155
719	UMGS1156
720	UMGS1157
721	UMGS1158
722	UMGS1159
723	UMGS116
724	UMGS1160
725	UMGS1161
726	UMGS1162
727	UMGS1163
728	UMGS1164
729	UMGS1165
730	UMGS1166
731	UMGS1167
732	UMGS1168
733	UMGS1169
734	UMGS117
735	UMGS1170
736	UMGS1171
737	UMGS1172
738	UMGS1173
739	UMGS1174
740	UMGS1175
741	UMGS1177
742	UMGS1178
743	UMGS1179
744	UMGS118
745	UMGS1180
746	UMGS1181
747	UMGS1182
748	UMGS1183
749	UMGS1184
750	UMGS1185
751	UMGS1186
752	UMGS1187
753	UMGS1188
754	UMGS1189
755	UMGS119
756	UMGS1190
757	UMGS1191
758	UMGS1192
759	UMGS1193
760	UMGS1195
761	UMGS1196
762	UMGS1197
763	UMGS1198
764	UMGS1199
765	UMGS12
766	UMGS120
767	UMGS1200
768	UMGS1201
769	UMGS1202
770	UMGS1203
